,date,title,summary
0,2 April 2020,Understanding Value in Media: Perspectives from Consumers and Industry,"In an age of fake news and misinformation, good quality content is more valuable than ever. So who’s creating it, who’s paying for it and who's controlling its production? As the world ba..."
1,27 March 2020,Mobilizing the Private Sector in Peace and Reconciliation,"The following report, authored by a team of researchers from the Graduate Institute Geneva tackles this question: Based on previous involvements of the private sector in peacebuilding, wh..."
2,26 March 2020,How Can Trade Rules Support Environmental Action?,"As governments and businesses grapple with the effects of COVID-19, other global challenges remain. Once the immediate crisis abates, countries must intensify environmental action to tack..."
3,17 March 2020,Guidelines for City Mobility: Steering towards collaboration,"Developed by the World Economic Forum’s Global Future Council on Mobility, the Guidelines for Transforming City Mobility Systems reflect shared goals for liveable and just transport netwo..."
4,16 March 2020,Digitizing and Transforming Mobility Systems: Lessons from the Detroit Region,"The pilot demonstrated that the power of data rallies across sectors, interests and operating models. In a world that still suffers deeply from socioeconomic disparities, persisting racia..."
5,11 March 2020,Insights on handling coronavirus from an earlier report on business and outbreaks,This 2019 report by the World Economic Forum and the Harvard Global Health Institute warned of an outbreak like COVID-19 and told businesses to step up to the increasing risk of pandemics.
6,4 March 2020,Argentina’s Travel and Tourism Competitiveness,"The Case for Promoting and Preserving Cultural, Natural and Heritage Assets in Tourism. The lessons from this Report can also be applied to other similarly-situated countries to improve t..."
7,26 February 2020,Global Data Access for Solving Rare Disease: A Health Economics Value Framework,Rare diseases are not as rare as you may think. Approximately 10% of the global population or 475 million people are affected by a “rare” condition. But national approaches to rare-diseas...
8,14 February 2020,Davos 2020: Global Media Coverage,Discover an overview of the global media and digital media coverage throughout January of the World Economic Forum Annual Meeting 2020.
9,5 February 2020,Energy Policy Lighthouses: The Little Green Book,"This community paper focuses on the role of policy in these processes of transformation. The experience, so far, is that the societies making the most progress on deep decarbonization hav..."
10,23 January 2020,An Open Platform for Traceability: Accelerating Transparency and Sustainability across Manufacturing Ecosystems,"While the manufacturing and production sectors comprise 16% of global GDP and are key drivers for economies around the world, the complex network of supply chains on which these sectors r..."
11,23 January 2020,Cybercrime Prevention Principles for Internet Service Providers,The World Economic Forum Platform for Shaping the Future of Cybersecurity and Digital Trust brought together a group of leading ISPs and multilateral organizations to develop new ways to ...
12,22 January 2020,Jobs of Tomorrow: Mapping Opportunity in the New Economy,"This report has been published by the World Economic Forum as a contribution to a project, insight area or interaction. The findings, interpretations, and conclusions expressed herein are..."
13,22 January 2020,Shaping a Multiconceptual World,The 50th anniversary of the World Economic Forum coincides with a period of profound global change. These events prompted the Forum to draw on its network of diverse experts to develop a ...
14,19 January 2020,Global Social Mobility Index 2020: why economies benefit from fixing inequality,"The World Economic Forum has created a new index to measure social mobility, providing a much-needed assessment of the current state of social mobility worldwide."
15,19 January 2020,Nature Risk Rising: Why the Crisis Engulfing Nature Matters for Business and the Economy,"Nature Risk Rising, the first report in the NNE series, explains how nature-related risks matter to business, why they must be urgently mainstreamed into risk management strategies and wh..."
16,17 January 2020,The Charter of Principles for Good Platform Work,The Charter of Principles for Good Platform Work is a ground-breaking initiative by leading companies in the sector to collectively identify and commit to key principles that in their vie...
17,17 January 2020,Incentivizing Food Systems Transformation,This report outlines four pathways for creating the right incentives to transform food systems. The report highlights key barriers along each of these pathways and proposes a menu of solu...
18,17 January 2020,The Net-Zero Challenge: Fast-Forward to Decisive Climate Action,"The Net-Zero Challenge report examines the current state of global climate action by companies and governments, providing a clear way forward. Climate action is first and foremost an oppo..."
19,17 January 2020,Two Decades of Impact: How Social Entrepreneurs Have Improved 622 Million Lives,The Schwab Foundation for Social Entrepreneurship launches its first Impact Report which showcases the twenty years of impact of the Schwab Foundation social entrepreneur community. 
20,16 January 2020,Activating a Seamless Integrated Mobility System (SIMSystem): Insights into Leading Global Practices,This report condenses the insights of over 100 stakeholders and 10 cities to deliver some of the globally applicable lessons and recommendations that can be extracted from their efforts. ...
21,16 January 2020,Unlocking Technology for the Global Goals,"In this report, developed in collaboration with PwC, we showcase the significant opportunity to harness new technologies for the Global Goals. Through analysis of over 300 technology appl..."
22,15 January 2020,The Global Risks Report 2020,"The 15th edition of the World Economic Forum’s Global Risks Report is published as critical risks are manifesting. The global economy is facing an increased risk of stagnation, climate ch..."
23,14 January 2020,Schools of the Future: Defining New Models of Education for the Fourth Industrial Revolution,“Schools of the Future: Defining New Models of Education for the Fourth Industrial Revolution” outlines a new framework for defining quality education in the new economic and social conte...
24,10 January 2020,The Future of the Last-Mile Ecosystem,"The Future of the Last-Mile Ecosystem analyses 24 interventions that can reduce emissions, congestion and delivery costs for the urban last-mile. With the ecosystem-wide change, intervent..."
25,9 January 2020,Taking the Pulse of the New Economy: Chief Economists' Outlook,"The new decade opens with a fragile growth outlook, social tensions over the evident polarization of economic outcomes and high levels of uncertainty. There are signs of policy agility an..."
26,8 January 2020,"Biosecurity Innovation and Risk Reduction: A Global Framework for Accessible, Safe and Secure DNA Synthesis","This report, endorsed by an international expert Working Group, recommends a global system to expand synthetic DNA screening practices by developing an international, cost-effective, and ..."
27,16 December 2019,Mind the 100 Year Gap,Gender parity will not be attained for 99.5 years – that’s the sobering finding of the Global Gender Gap Report 2020
28,16 December 2019,Global Gender Gap Report 2020,Gender parity will not be attained for 99.5 years – that’s the sobering finding of the Global Gender Gap Report 2020
29,11 December 2019,The Net-Zero Challenge: Global Climate Action at a Crossroads (Part 1),"The paper is the first in a two-part series on The Net-Zero Challenge, which assesses the state of global climate action through the lens of corporations, governments, and civil society. ..."
30,11 December 2019,HR4.0: Shaping People Strategies in the Fourth Industrial Revolution,"HR 4.0, a framework for shaping people's strategies in the Fourth Industrial Revolution, is an initial response to the changing role of organizations in the context of this challenge. It ..."
31,10 December 2019,Lighthouses for a perfect storm,"Each of these Lighthouse Projects describes the ways in which stakeholders are making concrete progress to address the pressing societal, economic, environmental, technology and industry ..."
32,11 November 2019,Accelerating access to sustainable energy: A key priority in energy transition,"Through a year-long series of workshops and meetings, the Global Future Council on Energy 2018-2019 identified four levers that global governments and private-sector actors can pull to ac..."
33,3 November 2019,Transforming Infrastructure: Frameworks for Bringing the Fourth Industrial Revolution to Infrastructure,Our new guidebook exploring major questions about how to bring the Fourth Industrial Revolution to infrastructure.
34,3 November 2019,Dialogue Series on New Economic and Social Frontiers: Policy Pathways for the New Economy,Unfolding technological developments pose a significant challenge in terms of the depth of economic and social transformation needed for their benefits to be fully realized and equitably ...
35,1 November 2019,Global Future Council on Advanced Manufacturing and Production,Technological advances in manufacturing are transforming factories and enabling a new generation of partnerships and business models to drive sustainable economic growth. But how can comp...
36,25 October 2019,The Cybersecurity Guide for Leaders in Today’s Digital World,"Cyberattacks are one of the top 10 global risks of highest concern in the next decade, with an estimated price tag of $90 trillion if cybersecurity efforts do not keep pace with technolog..."
37,23 October 2019,Navigating Uncharted Waters: A roadmap to responsible innovation with AI in financial services,"Navigating Uncharted Waters shows how financial services firms, policymakers and regulators and customers can overcome five risks and plot a course toward more rapid AI adoption."
38,9 October 2019,Global Competitiveness Report 2019,The most competitive economies in the world
39,8 October 2019,Global Competitiveness Report 2019: How to end a lost decade of productivity growth,2019's Global Competitiveness Report is the latest edition of the series launched in 1979 that provides an annual assessment of the drivers of productivity and long-term economic growth
40,4 October 2019,Agile Governance for Creative Economy 4.0,This Briefing Paper examines agile policy development approaches that can help countries in the ASEAN region and beyond unleash the full potential of the Fourth Industrial Revolution for ...
41,4 October 2019,Medicine from the sky,The Briefing Paper on Medicine from the Sky provides a broad overview of the supply chain system in India. In partnership with the State Government of Telangana and Clinical Representatio...
42,1 October 2019,Regional Risks for Doing Business 2019,The Regional Risks for Doing Business report offers a business perspective on the impact of global risks and illustrates how they are experienced differently in each region. In today’s fr...
43,19 September 2019,A Vision for a Sustainable Battery Value Chain in 2030,"The need for urgent and more intensive actions against climate change is broadly recognized. In support of this agenda, this report presents a simple yet profound vision: a circular, resp..."
44,15 September 2019,Unlocking Capital Markets to Finance the SDGs,This report summarizes insights generated by a diverse group of influential institutional investors and their advisers in order to explore how the global capital markets can better accele...
45,11 September 2019,Generation AI Establishing Global Standards for Children and AI,"On 6-7 May 2019, the World Economic Forum Centre for the Fourth Industrial Revolution and its partners UNICEF and the Canadian Institute for Advanced Research (CIFAR) hosted a workshop in..."
46,10 September 2019,Annual Report 2018–2019,"The World Economic Forum’s 49th year of operation was critical in its evolution as a new kind of international organization, one that is multistakeholder, multidisciplinary and top-level...."
47,4 September 2019,The Travel & Tourism Competitiveness Report 2019,For over a decade the World Economic Forum engaged leaders in travel and tourism to carry out an in-depth analysis of the travel and tourism (T&amp;T) competitiveness. Published bienniall...
48,3 September 2019,Africa E-commerce Agenda: Roadmap for Action,"E-commerce in Africa is well underway, but it has potential to grow, creating new jobs and driving sustainable development. E-commerce stakeholders from within and beyond the continent ha..."
49,16 August 2019,"ASEAN Youth Technology, Skills and the Future of Work","Based on a survey of 56,000 youths aged 15-35 years old from six countries in the South-East Asia region (ASEAN), this report analyses the views of young ASEAN citizens on future of work,..."
50,16 July 2019,Building Value with Blockchain Technology: How to Evaluate Blockchain's Benefits,"This practical framework helps organizations identify the value of blockchain technology and build a corresponding business case. Co-designed with Accenture, the Blockchain Value Framewor..."
51,3 July 2019,Incentivizing responsible and secure innovation Principles and guidance for investors,This report proposes an innovative focus on cybersecurity incentives for the investment community. Investors in innovation and technology-driven companies have a responsibility to ensure ...
52,2 July 2019,Top 10 Emerging Technologies 2019,"The technologies on the list, which is curated by members of the Forum’s Expert Network, are selected against a number of criteria. In addition to promising major benefits to societies an..."
53,2 July 2019,Data Science in the New Economy: A new race for talent in the Fourth Industrial Revolution,"As the Fourth Industrial Revolution unfolds, led by advances in technologies such as data science and artificial intelligence, the labour market is again changing in a fundamental fashion..."
54,20 May 2019,Data Collaboration for the Common Good: Enabling Trust and Innovation Through Public-Private Partnerships,"This report, done in collaboration with McKinsey and Company, represents a year-long effort with business, government, civil society leaders, experts and practitioners to advance public-p..."
55,8 May 2019,Health and Healthcare in the Fourth Industrial Revolution: Global Future Council on the Future of Health and Healthcare 2016-2018,"Scientific and technological advances in medicine promise to transform health and healthcare to become much more connected, precise and democratized, with significantly improved human out..."
56,29 April 2019,Risk Snapshot: Smart Grids,"A smart tech spending boom in the utility and energy industry has introduced new risks with high costs. Industry experts point to three main ways to mitigate the risk, while providing a s..."
57,11 April 2019,Two Degrees of Transformation Businesses are coming together to lead on climate change. Will you join them?,The ‘Two Degrees of Transformation’ report was developed in collaboration with the Alliance of CEO Climate Leaders – a leadership community supported by the World Economic Forum’s Shaping...
58,25 March 2019,Fostering Effective Energy Transition 2019,Fostering Effective Energy Transition report is part of the World Economic Forum’s System Initiative on Shaping the Future of Energy. The report summarizes insights from the “Energy Trans...
59,19 March 2019,Improving Infrastructure Financing in Brazil,Many governments are finding it difficult to finance the growing demand for essential infrastructure through public funding alone. With the significant increase of debt in many countries ...
60,26 February 2019,Advanced Drone Operations Toolkit: Accelerating the Drone Revolution,The Advanced Drone Operations Toolkit provides a modular approach for governments to enable societally important and safe drone projects. Each recommendation is based upon lessons learned...
61,24 January 2019,"A New Circular Vision for Electronics, Time for a Global Reboot","Rapid innovation and lowering costs have dramatically increased access to electronic products and digital technology, with many benefits. This has led to an increase in the use of electro..."
62,22 January 2019,Innovation with a Purpose: Improving Traceability in Food Value Chains through Technology Innovations,"Technology innovations, and their supporting enabling environment, have the potential to support positive food system transformation. This report, developed by the World Economic Forum in..."
63,22 January 2019,Innovate Europe: Competing for Global Innovation Leadership,"The World Economic Forum, in collaboration with McKinsey and Company, has set out a vision for Europe to become a global leader in innovation. Against the backdrop of Europe trying to cat..."
64,15 January 2019,The Global Risks Report 2019,"The Global Risks Report 2019 is published against a backdrop of worrying geopolitical and geo-economic tensions. If unresolved, these tensions will hinder the world’s ability to deal with..."
65,7 January 2019,Future of Consumption in Fast-Growth Consumer Markets: India,"This report sheds light on one of the fastest growing economies in the world - India. By 2030, India will see a tremendous jump in consumer spending driven by increased incomes, a billion..."
66,20 December 2018,No Such Thing as a Commodity: Routes to higher value added for SMEs in developing and least developed countries,"Small and medium-sized enterprises (SMEs) are important actors in all economies and key to policies for inclusive growth, innovation, productivity and job creation. However, they tend to ..."
67,17 December 2018,The Global Gender Gap Report 2018,Gender parity is fundamental to whether and how economies and societies thrive. Ensuring the full development and appropriate deployment of half of the world’s total talent pool has a vas...
68,13 December 2018,Value in Healthcare: Accelerating the Pace of Health System Transformation,"In a world characterized by an ageing population, more and more people suffering from long-term chronic disease, and ever-increasing healthcare costs, improving healthcare value by delive..."
69,10 December 2018,"Our Shared Digital Future Building an Inclusive, Trustworthy and Sustainable Digital Society","Our Shared Digital Futures is a publication shaped by leaders from business, government, academia and civil society who collectively acknowledge the need for shared goals and coordinated ..."
70,4 December 2018,Annual Report 2017-2018,"The year was marked by strong achievement, even by the standards of an organization in which exceptional performance is the rule. Working to deliver against ambitious targets, the World E..."
71,12 November 2018,Regional Risks for Doing Business,"The World Economic Forum has been publishing The Global Risks Report since 2006, highlighting each year the vulnerability of our increasingly networked and interconnected world to volatil..."
72,16 October 2018,The Global Competitiveness Report 2018,The new Global Competitiveness Report 2018 will be released on 17 October at 00:01 CEST.
73,25 September 2018,Harnessing the Fourth Industrial Revolution for Water,"As part of the Harnessing the Fourth Industrial Revolution for the Earth series, this paper explores the opportunity for advanced technology to help address global water and sanitation ch..."
74,25 September 2018,Identity in a Digital World: A new chapter in the social contract,"All over the world, a growing number of organizations –from the public and private sectors –are advancing systems that establish and verify digital identities for people, devices and othe..."
75,18 September 2018,The Digital Enterprise: moving from experimentation to transformation,"While enormous resources are being spent on digital transformation programs by the private sector, the results are underwhelming. According to estimates, this year over $1.2 trillion will..."
76,17 September 2018,The Future of Jobs Report 2018,"New categories of jobs will emerge, partly or wholly displacing others. The skill sets required in both old and new occupations will change in most industries and transform how and where ..."
77,14 September 2018,Building Block(chain)s for a Better Planet,"This report outlines a set of principles for developing blockchain applications for the environment, and identifies the need for global platforms to incubate a responsible blockchain ecos..."
78,12 September 2018,Recovery of Key Metals in the Electronics Industry in the People’s Republic of China,This Insight Report is a collaborative effort between Tsinghua University and the World Economic Forum. It is a baseline study examining the current state of electronics recycling in Chin...
79,4 September 2018,Annual Report 2017-2018,"The year was marked by strong achievement, even by the standards of an organization in which exceptional performance is the rule. Working to deliver against ambitious targets, the World E..."
80,15 August 2018,The New Physics of Financial Services – How artificial intelligence is transforming the financial ecosystem ,Artificial intelligence is fundamentally changing the physics of financial services. It is weakening the bonds that have held together the component parts of incumbent financial instituti...
81,14 August 2018,Arab World Competitiveness Report 2018,Which country in the Arab world is the most competitive? 
82,27 June 2018,Reshaping Urban Mobility with Autonomous Vehicles Lessons from the City of Boston,Autonomous vehicles will radically transform how people and goods are transported around cities. What steps do government leaders need to take to ensure the future of mobility remains saf...
