,date,title,summary
0,Fourth Industrial Revolution,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
1,Kimmy  Bettinger 10 Apr 2020,COVID-19: Emerging technologies are now critical infrastructure – what that means for governance,Tech tools have become essential infrastructure under lockdown and reveal opportunities for governance.
2,COVID-19,How China’s industrial internet is fighting COVID-19,"The industrial internet, focusing primarily on business and industry, has worked to protect society’s normal operation during China's COVID-19 outbreak."
3,Lau Sengyee 08 Apr 2020,How personal data could help contribute to a COVID-19 solution,Companies are turning to technology to fight the COVID-19 pandemic.
4,COVID-19,Coronavirus: seven ways collective intelligence is tackling the pandemic,Digital technology is allowing people to come together and generate important new insights on the coronavirus outbreak.
5,Murat Sönmez 23 Mar 2020,Meet our Young Global Leaders for 2020,The World Economic Forum announces its Young Global Leaders class of 2020 - influential people from around the world who committed to making the world a better place.
6,COVID-19,"As the inventor of copy and paste dies, here are other computing innovations we take for granted","In a 50-year career, Larry Tesler dedicated his life to making computers easier to use. The legacy of the person who invented cut and paste lives on.
"
7,Aleks  Berditchevskaia and Kathy  Peach · The Conversation 15 Mar 2020,The surprising benefits of self-driving trucks ,"We might ignore them, but trucks are fundamental to our daily lives - which is why the coming transition to self-driving trucks is going to be such a game-changer."
8,Leadership,We should treat data as a natural resource. Here's why,"Like oil and other natural resources, the extraction of data requires energy - and we are not using it sustainably, either. It's time for a new approach. "
9,Mariah Levin 11 Mar 2020,"In South Korea, you can take a class on dealing with an AI hiring bot",Korean firms are rolling out artificial intelligence in hiring - and jobseekers are hiring consultants to learn how to beat the bots.
10,Future of Computing,A human-machine collaboration to defend against cyberattacks,PatternEx is merging human and machine expertise to spot and respond to hacks.
11,Sean Fleming 02 Mar 2020,Here's how one company is championing the circular economy,Consumers can order their groceries in reusable packaging - in a scheme that's expanding across the world.
12,Artificial Intelligence and Robotics,Don't blame it on the machines: Robots and employment in Europe,New research explores the impact of automation on employment in Europe. 
13,Don Burnette and Paz Eshel 02 Mar 2020,These 4 simple solutions can help make the manufacturing industry more sustainable,"From 3D printing to plastic alternatives, here's how manufacturing can change to protect the environment."
14,The New Data Economy,Lab-made molecules store image of Picasso drawing,The Brown University researchers stored more than 200 kilobytes of data - significant progress in terms of small molecule storage.
15,Antonio Neri 02 Mar 2020,All of today’s unicorns in Travel &amp; Mobility Tech,"From ride-hailing apps to electric autonomous vehicles, mobility is attracting significant interest from investors.  "
16,Artificial Intelligence and Robotics,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
17,Sangmi Cha · Reuters 26 Feb 2020,This tiny chip could protect against counterfeiting ,"MIT researchers’ millimeter-sized ID chip integrates a cryptographic processor, an antenna array that transmits data in the high terahertz range, and photovoltaic diodes for power."
18,Cybersecurity,Virtual Reality 'reunites' a mother and deceased daughter,The premiere of 'Meeting You' has shone a spotlight on the power of technology and virtual reality. 
19,Zach Winn · MIT News 26 Feb 2020,AI could transform the treatment of brain tumours,The technology could help patients and doctors make better decisions about treatment. 
20,Sustainable Development,Quantum internet: the next global network is already being laid,Rapid progress is being made towards quantum communication networks. 
21,Sean Fleming 25 Feb 2020,Here's how the US can get the best out of 5G ,"5G has huge economic potential - but unless the US changes its approach, it risks getting left behind."
22,Fourth Industrial Revolution,Here are 3 big concerns surrounding AI - and how to deal with them,AI is viewed as a strategic technology to lead us into the future but there are growing concerns around its uncertainty.
23,"David Klenert, Enrique  Fernández-Macías, and José-Ignacio  Antón · VoxEU 25 Feb 2020",Designing artificial brains can help us learn more about real ones,"Research into designing artificial brains could allow us to better understand the human brain, helping us treat neurological disorders. "
24,3D Printing,Hydrogel 'biofactories' could make meds in remote places ,"A new method for storing, producing and preserving medicine has the potential to transform health care delivery. "
25,Ric Fulop 24 Feb 2020,Could this aircraft be the future of sustainable aviation?,"After secret flight tests in France, Airbus have unveiled a new curvaceous aircraft design that blends wing and body, with the aim of cutting carbon emissions."
26,Fourth Industrial Revolution,World order is going to be rocked by AI - this is how,"Measures such as GDP can’t predict how well a country will cope with the wave of change brought about by the Fourth Industrial Revolution.
"
27,Kevin Stacey · Futurity 24 Feb 2020,"The next time you give a blood sample, it could be taken by a robot",Rutgers Universaity found than an ultrasound image-guided robot can draw blood from veins more successfully than humans.
28,Fourth Industrial Revolution,'Bio-ink' could form a scaffold for growing human tissue ,"3D printing and 'bio-ink' could help to could serve as scaffolds, or temporary structures to grow human tissues."
29,Neil  G Sipe · The Conversation 24 Feb 2020,How to unleash the potential of regions like São Paulo,"Brazil's largest state has a GDP larger than Argentina's - and it's growing at twice the national average. But this success was no accident, as João Doria, São Paulo's state governor, exp..."
30,Fourth Industrial Revolution,Smart drones to be tested in battle against E. Africa locust swarms,"Some of the swarms are up to 40 km by 60 km and have devoured thousands of hectares of crops, but could smart dones be the solution? "
31,Robert Matheson · MIT News 21 Feb 2020,"Gamers, brain waves and AI: The future of U.S. military?","New research in artificial intelligence plans to study brain waves and eye movements whilst participants play video games, using the information gained to train an AI. "
